trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-132.91219547744723,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-48.434404948176955,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-139.76804508809346,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-170.46415646782634,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-71.09184297454233,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-211.4854145386468,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-140.4099493179912,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-102.66515070352065,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-60.04327558180963,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-52.01235255291247,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-28.059441006163894,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-11.829877615755551,"{0: 31, 1: 0, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-85.4277753066491,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-0.556856403701323,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,15.99968441832699,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,2,26.465724842030188,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,9,7.148519493466623,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,19,11.72706527200861,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,21,15.818597919078682,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,5,29.92770355113979,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,17,12.909368743443311,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,8,20.215882513834856,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,36.570126466029244,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,4.55153738124324,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,5,24.821814767836997,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,11.328921176567583,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,29.130803396455605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,3,23.993707417875147,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,7,32.0856272814646,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,13.138228805328318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
