trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-41.95000098256869,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-110.7242897348703,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-204.09653869963253,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-184.58915242256785,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-229.31300204151404,"{0: 15, 1: 1, 2: 2, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-79.21063960427757,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",30,0,-255.7229833160501,"{0: 12, 1: 4, 2: 9, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-154.76519357700494,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-168.84877005210356,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",30,0,-36.29018022245664,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,0,-140.1278390131223,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,0,-135.8065715368075,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",35,15,-148.73046257472677,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",1
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-94.58323384910088,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-128.78364495417438,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-105.10964860096294,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",25,3,-45.93695227263954,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-194.36676745951024,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",20,7,-77.2746446700658,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-89.8816990702288,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,9,-43.15584918798566,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-82.64189700371467,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.794533602503334}",20,7,-21.895808599645882,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",30,0,-177.24017768657026,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-105.45990276116015,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",25,0,-93.7027954288011,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,4,-66.0781365775638,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",35,0,-314.41278588214357,"{0: 17, 1: 3, 2: 8, 3: 2, 4: 5}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,13,-84.46699747138815,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",30,1,-114.8697763882698,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,12,-15.58413290518934,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-90.4480591261984,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-196.0460402344326,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626098}",25,0,-74.65879433896443,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,0,-104.59065978424059,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-9.787765767722817,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",20,0,-55.71000856290746,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",25,9,-31.120661113731156,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
